index,Name,Param,Value
149,vc_bt_bt_16_in_treq_c,biquad_cell_39.b1,0
150,vc_bt_bt_16_in_treq_c,biquad_cell_0.b2,0
151,vc_bt_bt_16_in_treq_c,biquad_cell_1.b2,0
152,vc_bt_bt_16_in_treq_c,biquad_cell_2.b2,0
153,vc_bt_bt_16_in_treq_c,biquad_cell_3.b2,0
154,vc_bt_bt_16_in_treq_c,biquad_cell_4.b2,0
155,vc_bt_bt_16_in_treq_c,biquad_cell_5.b2,0
156,vc_bt_bt_16_in_treq_c,biquad_cell_6.b2,0
157,vc_bt_bt_16_in_treq_c,biquad_cell_7.b2,0
158,vc_bt_bt_16_in_treq_c,biquad_cell_8.b2,0
159,vc_bt_bt_16_in_treq_c,biquad_cell_9.b2,0
160,vc_bt_bt_16_in_treq_c,biquad_cell_10.b2,0
161,vc_bt_bt_16_in_treq_c,biquad_cell_11.b2,0
162,vc_bt_bt_16_in_treq_c,biquad_cell_12.b2,0
163,vc_bt_bt_16_in_treq_c,biquad_cell_13.b2,0
164,vc_bt_bt_16_in_treq_c,biquad_cell_14.b2,0
165,vc_bt_bt_16_in_treq_c,biquad_cell_15.b2,0
166,vc_bt_bt_16_in_treq_c,biquad_cell_16.b2,0
167,vc_bt_bt_16_in_treq_c,biquad_cell_17.b2,0
168,vc_bt_bt_16_in_treq_c,biquad_cell_18.b2,0
169,vc_bt_bt_16_in_treq_c,biquad_cell_19.b2,0
170,vc_bt_bt_16_in_treq_c,biquad_cell_20.b2,0
171,vc_bt_bt_16_in_treq_c,biquad_cell_21.b2,0
172,vc_bt_bt_16_in_treq_c,biquad_cell_22.b2,0
173,vc_bt_bt_16_in_treq_c,biquad_cell_23.b2,0
174,vc_bt_bt_16_in_treq_c,biquad_cell_24.b2,0
175,vc_bt_bt_16_in_treq_c,biquad_cell_25.b2,0
176,vc_bt_bt_16_in_treq_c,biquad_cell_26.b2,0
177,vc_bt_bt_16_in_treq_c,biquad_cell_27.b2,0
178,vc_bt_bt_16_in_treq_c,biquad_cell_28.b2,0
179,vc_bt_bt_16_in_treq_c,biquad_cell_29.b2,0
180,vc_bt_bt_16_in_treq_c,biquad_cell_30.b2,0
181,vc_bt_bt_16_in_treq_c,biquad_cell_31.b2,0
182,vc_bt_bt_16_in_treq_c,biquad_cell_32.b2,0
183,vc_bt_bt_16_in_treq_c,biquad_cell_33.b2,0
