index,Name,OMXName
104,vt_mic_earpiece_8_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
105,vt_mic_earpiece_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
106,vt_mic_earpiece_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
107,vt_mic_earpiece_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
108,vt_mic_earpiece_16_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
109,voip_mic_earpiece_16_in_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
110,voip_mic_earpiece_16_out_treq,OMX.ST.AFM.pcmprocessing.transducer_equalizer
111,voip_mic_earpiece_8_out_cng,OMX.ST.AFM.pcmprocessing.comfortnoise
112,REF_Speaker_Sink,OMX.ST.AFM.IHF
113,REF_HSetOut_Sink,OMX.ST.AFM.NOKIA_AV_SINK
114,REF_Earpiece_Sink,OMX.ST.AFM.EARPIECE
115,REF_HSetIn_Source,OMX.ST.AFM.NOKIA_AV_SOURCE
116,REF_Mic_Source,OMX.ST.AFM.MULTI_MIC
117,REF_FMOut_Sink,OMX.ST.AFM.FM_SINK
118,REF_FMIn_Source,OMX.ST.AFM.FM_SOURCE
119,REF_BTOut_Sink,OMX.ST.AFM.BT_MONO_SINK
120,REF_BTIn_Source,OMX.ST.AFM.BT_MONO_SOURCE
121,REF_A2DP_Sink,OMX.ST.AFM.alsasink
122,REF_VibraL_Sink,OMX.ST.HAPTICS_RENDERER.PCM.VIBL
123,REF_VibraR_Sink,OMX.ST.HAPTICS_RENDERER.PCM.VIBR
124,REF_HDMI_Sink,OMX.ST.AFM.alsasink
125,REF_HDMI_51_Sink,OMX.ST.AFM.alsasink
126,REF_USBOut_Sink,OMX.ST.AFM.alsasink
127,REF_USBIn_Source,OMX.ST.AFM.alsasource
128,vc_hset_hset_8_speech_proc,OMX.ST.AFM.speech_proc
129,vc_hset_hset_16_speech_proc,OMX.ST.AFM.speech_proc
130,vc_mic_hset_8_speech_proc,OMX.ST.AFM.speech_proc
131,vc_mic_hset_16_speech_proc,OMX.ST.AFM.speech_proc
132,vc_bt_bt_8_speech_proc,OMX.ST.AFM.speech_proc
